id_student,code_module,code_presentation,precision,recall,f1
6516,AAA,2014J,0.1,0.09523809523809523,0.0975609756097561
11391,AAA,2013J,0.05,0.08333333333333333,0.0625
23698,CCC,2014J,0.1,0.125,0.11111111111111112
23798,BBB,2013J,0.05,0.04,0.044444444444444446
24186,GGG,2014B,0.1,0.2,0.13333333333333333
24213,DDD,2014B,0.1,0.04,0.05714285714285714
24391,GGG,2013J,0.1,0.10526315789473684,0.10256410256410256
24734,AAA,2014J,0.15,0.15,0.15
25107,BBB,2013B,0.1,0.13333333333333333,0.1142857142857143
25150,EEE,2014B,0.2,0.4444444444444444,0.2758620689655173
26023,GGG,2013J,0.1,0.18181818181818182,0.12903225806451613
26192,AAA,2014J,0.15,0.3333333333333333,0.20689655172413793
26211,FFF,2014B,0.25,0.07692307692307693,0.11764705882352941
26315,BBB,2014J,0.2,0.17391304347826086,0.18604651162790697
27116,CCC,2014J,0.25,0.16129032258064516,0.19607843137254902
27189,FFF,2014B,0.0,0.0,0.0
27417,DDD,2013J,0.0,0.0,0.0
27417,DDD,2014J,0.0,0.0,0.0
27683,FFF,2014B,0.2,0.11428571428571428,0.14545454545454545
27759,BBB,2013J,0.0,0.0,0.0
27780,EEE,2014B,0.05,0.2,0.08000000000000002
28046,DDD,2013J,0.0,0.0,0.0
28061,AAA,2014J,0.1,0.2222222222222222,0.13793103448275865
28400,AAA,2013J,0.1,0.11764705882352941,0.1081081081081081
28787,CCC,2014J,0.0,0.0,0.0
28897,FFF,2014B,0.3,0.13333333333333333,0.18461538461538463
29144,BBB,2013B,0.2,0.09302325581395349,0.12698412698412698
29335,FFF,2013J,0.1,0.045454545454545456,0.06250000000000001
29411,DDD,2013J,0.05,0.022727272727272728,0.03125000000000001
29420,CCC,2014J,0.05,0.058823529411764705,0.05405405405405405
29639,CCC,2014J,0.35,0.1891891891891892,0.24561403508771934
29639,EEE,2014B,0.1,0.2222222222222222,0.13793103448275865
29764,CCC,2014B,0.1,0.15384615384615385,0.12121212121212123
29769,FFF,2013J,0.0,0.0,0.0
29820,CCC,2014B,0.05,0.09090909090909091,0.06451612903225806
29820,EEE,2014B,0.3,0.6666666666666666,0.41379310344827586
29985,GGG,2014B,0.2,0.25,0.22222222222222224
30091,BBB,2013J,0.0,0.0,0.0
30096,CCC,2014J,0.05,0.08333333333333333,0.0625
30531,FFF,2014B,0.0,0.0,0.0
30850,CCC,2014J,0.0,0.0,0.0
31107,GGG,2014B,0.2,0.19047619047619047,0.1951219512195122
31161,CCC,2014J,0.1,0.09523809523809523,0.0975609756097561
