,precision,recall,f1
popularity,0.1866285562350438,0.2350240221036648,0.1801618885624899
collaborative,0.1883727731986174,0.2371096908492143,0.1818028252017121
content,0.1492634937516617,0.1756237486646452,0.1433545485830756
hybrid,0.201746875830896,0.2478863715593585,0.1940626469214208
random,0.0909279446955596,0.1079068177564236,0.0873723322189404
random_forest,0.22313746344057434,0.2793576347118448,0.2168945542748099
