,precision,recall,f1
popularity,0.18662855623504385,0.23502402210366488,0.1801618885624899
collaborative,0.18837277319861742,0.2371096908492143,0.18180282520171218
content,0.14926349375166179,0.17562374866464522,0.1433545485830756
hybrid,0.20174687583089604,0.2478863715593585,0.19406264692142083
random,0.09015687317202872,0.10679990640504929,0.08661501668440962
random_forest,0.22313746344057434,0.2793576347118448,0.21689455427480986
